,Canada,India,Israel,Mexico,Argentina,Brazil,"Hong Kong SAR, China",European Union,Germany,United Kingdom,Indonesia,China,Japan,United States,Russian Federation,United Arab Emirates
1990,0.00164672535628412,0.05533454563065111,0.07315199174933,0.0517576838619527,-0.024672137763745897,-0.0310235594875007,0.038306014950637596,0.0337021734966886,0.0525500608859595,0.0073375549325547205,0.07242131638564621,0.039071138960560206,0.0489271306575883,0.0188596032309418,-0.029999956422359003,0.183279855336405
1991,-0.020860854765228504,0.0105683143294308,0.0772611516239357,0.042147548386775896,0.09133110566201029,0.0151193723815426,0.05701908939572519,0.0180937650173796,0.051082615076595096,-0.0110312162538612,0.0691198283591309,0.0929407591344456,0.034174967617614,-0.00108259105278663,-0.050469394513088,0.00860081945778219
1992,0.00900259569351178,0.0548239602167047,0.0775926609936013,0.0354110241594962,0.07937291556430749,-0.00466913211737747,0.06234947896010441,0.011474499666962401,0.0192807343038962,0.004010820549912779,0.0649750651682714,0.14216163583252198,0.00848069581292606,0.0352244249386644,-0.145310737738049,0.033449448618412
1993,0.0266085657684695,0.0475077621965237,0.0411675639386306,0.019411558477300903,0.0820697907221228,0.0466516899045995,0.062011309705769097,-0.00565727203469919,-0.00979339906561634,0.024898309483855498,0.0649640812045304,0.13867576015913502,-0.00517919847232037,0.0275284432688012,-0.0866854034144579,0.012611909514972399
1994,0.044944662172487,0.06658924067340241,0.0742784526908483,0.0494108067568743,0.0583620070368526,0.05334551701681701,0.060360338176844,0.026536904609488397,0.02398049086341,0.0384600917388178,0.0753997109551439,0.130521587222366,0.00993066363300827,0.040288390635428,-0.125697559797162,0.06896148550526679
1995,0.026939762680312798,0.0757449184032379,0.0660292483638582,-0.0629123082110115,-0.0284520961057081,0.04416731355437349,0.023737703342769,0.0266376836672731,0.015347974754814,0.025316700278139603,0.08220007399034929,0.109492273730679,0.0274214032208901,0.0268428713241977,-0.041435284056904706,0.0668788646362944
1996,0.016191724655463303,0.075495222488198,0.050328169963253205,0.0677325869445045,0.0552668982715234,0.0220753552677458,0.04258486193143471,0.018942200623244598,0.008209538264993342,0.024915331633181402,0.0781818707670867,0.09928372463191609,0.030999992907731002,0.037725013192651896,-0.037550694390795496,0.0579840406132159
1997,0.0428004008396165,0.040498208490926,0.039296726769599,0.06846852278624299,0.081110467707457,0.033948459848441706,0.0509969975287008,0.0266328306858713,0.017836372384923,0.038548299520889596,0.046998788539039695,0.09230769230769428,0.0107604523419364,0.044472163427340804,0.0139991580471732,0.08190398640770499
1998,0.027965424624821898,0.0618441582090618,0.0391689355477342,0.051639251679514594,0.0385017885156229,0.00338097902952455,-0.058826762682778616,0.0301888861162946,0.020190474890929698,0.036448534047056606,-0.13126725492381802,0.07837613918806531,-0.011284098288586399,0.04481407554512071,-0.052999616253821,0.00291994348685435
1999,0.0397048264471769,0.08845755561055091,0.0311459706778045,0.027535542474823604,-0.03385457040632701,0.00467937567378257,0.025066990679326898,0.029609450084069903,0.0189195900764383,0.0342822335047983,0.0079112608199847,0.0766748617086679,-0.00251954272087815,0.04753235988797169,0.0639991468983681,0.0290221364464598
